City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Chiredzi,-21.05,31.67,67.71,80,41,10.89,ZW,1601176602
Udachny,66.42,112.4,33.8,72,90,6.71,RU,1601176602
Jinchang,38.5,102.17,63.91,53,36,8.16,CN,1601176602
Bogorodskoye,56.55,37.88,51.87,71,91,8.72,RU,1601176603
Norman Wells,65.28,-126.83,42.8,75,75,3.36,CA,1601176379
New Richmond,45.12,-92.54,62.01,93,90,4.7,US,1601176603
Nikolskoye,59.7,30.79,54.0,87,2,8.95,RU,1601176326
Juegang,32.32,121.19,74.32,65,5,9.6,CN,1601176604
Tuatapere,-46.13,167.68,46.0,72,81,21.0,NZ,1601176248
Sokolo,14.73,-6.12,81.95,61,23,12.24,ML,1601176604
Inhambane,-23.86,35.38,71.22,90,7,5.14,MZ,1601176605
Fairview,40.81,-74.0,69.8,94,40,5.79,US,1601176605
Pontianak,-0.03,109.33,80.8,84,100,3.09,ID,1601176606
Belmonte,-15.86,-38.88,71.6,78,40,3.36,BR,1601176606
Sur,22.57,59.53,87.06,42,0,3.44,OM,1601176607
Dergachi,51.23,48.77,47.71,56,55,9.42,RU,1601176607
Mount Gambier,-37.83,140.77,55.4,62,40,4.7,AU,1601176608
East London,-33.02,27.91,50.0,61,2,9.17,ZA,1601176608
Cairns,-16.92,145.77,89.01,38,51,6.93,AU,1601176608
Baykit,61.67,96.37,42.19,69,100,5.23,RU,1601176352
Bourail,-21.57,165.48,78.6,67,79,7.99,NC,1601176609
Pisco,-13.7,-76.22,63.0,77,0,6.93,PE,1601176495
New Norfolk,-42.78,147.06,53.01,61,87,5.01,AU,1601176328
Montana,43.41,23.23,54.84,61,0,6.49,BG,1601176609
Sisimiut,66.94,-53.67,33.4,92,100,8.12,GL,1601176350
Lima Duarte,-21.84,-43.79,65.05,67,0,2.64,BR,1601176610
Grindavik,63.84,-22.43,42.8,100,40,6.93,IS,1601176371
Ailigandí,9.23,-78.02,79.47,82,98,6.33,PA,1601176610
Kadoma,34.73,135.58,78.8,61,75,9.17,JP,1601176611
Koungou,-12.73,45.2,78.8,74,75,8.05,YT,1601176611
Cherskiy,68.75,161.3,43.79,67,1,20.45,RU,1601176355
Buta,2.79,24.73,70.05,96,99,1.61,CD,1601176611
Poum,-20.23,164.02,74.84,86,16,6.98,NC,1601176612
Bambanglipuro,-7.95,110.28,84.0,42,86,15.23,ID,1601176612
Luanda,-8.84,13.23,69.8,94,75,2.24,AO,1601176612
Ust'-Ishim,57.69,71.17,46.98,83,96,4.63,RU,1601176613
Lavrentiya,65.58,-171.0,36.63,79,67,16.37,RU,1601176613
Lebu,-37.62,-73.65,48.07,89,7,11.01,CL,1601176613
Buala,-8.14,159.59,86.02,66,65,8.79,SB,1601176614
Muncar,-8.43,114.33,85.64,58,59,7.63,ID,1601176614
Tuktoyaktuk,69.45,-133.04,35.6,100,90,13.87,CA,1601176614
Port Hardy,50.7,-127.42,51.8,93,40,2.24,CA,1601176505
Pacific Grove,36.62,-121.92,66.99,88,0,3.0,US,1601176615
Sertãozinho,-21.14,-47.99,73.4,46,0,4.41,BR,1601176615
Vila Franca do Campo,37.72,-25.43,68.0,88,75,8.05,PT,1601176357
Teya,60.38,92.63,42.84,74,99,3.02,RU,1601176615
Bayeux,-7.12,-34.93,71.6,94,72,4.7,BR,1601176616
Salalah,17.02,54.09,78.8,83,75,3.36,OM,1601176348
Carnarvon,-24.87,113.63,73.4,46,43,12.75,AU,1601176264
Minsk,53.9,27.57,57.2,67,4,11.18,BY,1601176616
Ponta do Sol,32.67,-17.1,71.6,64,40,13.87,PT,1601176617
Astoria,46.19,-123.83,60.01,93,75,9.17,US,1601176617
Airai,-8.93,125.41,79.66,38,45,6.55,TL,1601176617
Sioux Lookout,50.1,-91.92,59.0,72,90,9.17,CA,1601176618
Yakeshi,49.28,120.73,57.11,61,20,13.94,CN,1601176618
Dongfeng,42.64,125.51,68.27,59,0,6.04,CN,1601176619
Balikpapan,-1.27,116.83,80.6,94,40,8.05,ID,1601176528
Indianola,41.36,-93.56,78.8,54,90,11.41,US,1601176619
Ghanzi,-21.57,21.78,55.71,34,0,7.09,BW,1601176620
Portland,45.52,-122.68,62.01,76,29,4.36,US,1601176569
Mirny,62.54,113.96,37.4,93,0,11.18,RU,1601176350
Kinkala,-4.36,14.76,70.99,83,94,5.88,CG,1601176620
Naranjal,-2.67,-79.62,77.0,78,40,10.29,EC,1601176621
Havre-St-Pierre,50.23,-63.6,44.6,87,75,6.93,CA,1601176621
Redmond,47.67,-122.12,57.99,88,78,2.91,US,1601176608
Sørland,67.67,12.69,44.35,72,3,14.81,NO,1601176622
Severo-Kuril'sk,50.68,156.12,52.07,60,94,8.61,RU,1601176622
Cabo San Lucas,22.89,-109.91,82.99,83,20,9.17,MX,1601176484
Havøysund,71.0,24.66,41.0,65,25,18.34,NO,1601176623
Sinnamary,5.38,-52.95,78.94,84,34,9.55,GF,1601176623
Buarcos,40.17,-8.88,64.4,93,75,12.75,PT,1601176623
Tiarei,-17.53,-149.33,84.2,66,20,10.29,PF,1601176624
Maltahöhe,-24.83,16.98,41.85,60,0,5.03,NA,1601176624
Alofi,-19.06,-169.92,77.0,73,86,18.34,NU,1601176452
Amapá,1.0,-52.0,73.47,85,73,4.25,BR,1601176624
Banjar,-8.19,114.97,87.8,70,20,11.41,ID,1601176625
Oddur,4.12,43.89,71.04,75,23,12.59,SO,1601176625
Banda Aceh,5.56,95.32,84.96,65,98,8.41,ID,1601176365
Taoudenni,22.68,-3.98,90.72,12,0,4.07,ML,1601176561
Mopipi,-21.18,24.88,64.74,23,0,8.93,BW,1601176626
Nabire,-3.37,135.48,85.37,65,78,3.13,ID,1601176626
Nikita,44.53,34.23,63.27,85,43,8.12,UA,1601176626
Katangli,51.71,143.23,53.49,71,100,15.03,RU,1601176626
Nanortalik,60.14,-45.24,37.72,81,0,10.33,GL,1601176627
Rio Grande,-32.03,-52.1,64.0,96,100,15.99,BR,1601176627
Shellbrook,53.22,-106.4,53.6,76,90,12.75,CA,1601176543
Lagoa,39.05,-27.98,69.51,87,37,15.55,PT,1601176628
Ludwigslust,53.32,11.5,48.99,93,100,4.0,DE,1601176628
Kahului,20.89,-156.47,87.8,48,90,21.92,US,1601176519
Santo Estêvão,-12.43,-39.25,65.64,99,2,3.31,BR,1601176628
Katsuura,35.13,140.3,71.01,79,100,9.62,JP,1601176629
Inta,66.03,60.17,53.19,88,100,18.43,RU,1601176629
Sivas Province,39.79,37.0,48.2,76,0,3.36,TR,1601176630
Gusinoye Ozero,51.11,106.26,47.21,59,93,9.13,RU,1601176630
Hambantota,6.12,81.12,80.6,94,20,6.93,LK,1601176631
Nerchinskiy Zavod,51.31,119.61,50.52,55,0,14.81,RU,1601176631
Maniitsoq,65.42,-52.9,36.72,81,100,14.72,GL,1601176631
Tete,-16.16,33.59,71.01,43,0,3.36,MZ,1601176632
Egvekinot,66.32,-179.17,32.83,82,2,5.12,RU,1601176632
Abbeville,50.1,1.83,52.0,76,100,22.82,FR,1601176632
Petapa,14.5,-90.55,68.0,93,75,4.7,GT,1601176632
Kumul,42.8,93.45,63.9,27,10,6.51,CN,1601176633
Port Elizabeth,-33.92,25.57,50.0,71,40,14.99,ZA,1601176633
Medvezh'yegorsk,62.92,34.47,49.77,95,98,4.14,RU,1601176633
Dongning,44.06,131.12,64.38,51,0,4.38,CN,1601176634
Anadyr,64.75,177.48,39.2,55,40,6.71,RU,1601176634
Pevek,69.7,170.31,36.95,86,83,12.46,RU,1601176634
Saint-Pierre,-21.34,55.48,69.8,49,0,8.05,RE,1601176635
Sept-Îles,50.2,-66.38,46.4,93,90,2.24,CA,1601176635
Chapais,49.78,-74.85,57.2,100,90,6.93,CA,1601176635
Longyearbyen,78.22,15.64,28.4,68,75,4.7,SJ,1601176636
High Rock,26.62,-78.28,83.39,75,0,3.56,BS,1601176636
Zhicheng,30.3,111.5,79.0,71,97,2.21,CN,1601176340
Manzhouli,49.6,117.43,52.61,45,0,20.8,CN,1601176637
Bilibino,68.05,166.44,35.38,83,93,5.28,RU,1601176637
Sulangan,11.14,123.72,84.22,73,60,3.91,PH,1601176637
Pakxan,18.38,103.66,87.49,68,100,1.83,LA,1601176637
Bosobolo,4.18,19.9,68.52,96,90,1.63,CD,1601176638
Gander,48.97,-54.59,51.8,71,90,6.93,CA,1601176638
Presidente Médici,-11.18,-61.9,78.31,64,91,3.56,BR,1601176638
Hobyo,5.35,48.53,77.04,84,91,19.19,SO,1601176639
Hegang,47.4,130.37,61.38,70,61,5.35,CN,1601176639
Zeya,53.75,127.27,57.24,87,100,6.58,RU,1601176639
Vanimo,-2.67,141.3,86.72,63,96,7.67,PG,1601176640
Seoul,37.57,126.98,73.4,53,1,4.7,KR,1601176468
Khurai,24.04,78.33,78.89,76,11,6.49,IN,1601176640
Bubaque,11.28,-15.83,80.49,79,100,0.83,GW,1601176641
Upernavik,72.79,-56.15,27.91,93,100,3.89,GL,1601176641
College,64.86,-147.8,55.4,58,40,4.7,US,1601176641
Kiomboi,-4.27,34.37,61.74,70,68,5.01,TZ,1601176642
Itarema,-2.92,-39.92,76.6,84,48,14.88,BR,1601176642
Ust-Maya,60.42,134.53,58.64,52,100,13.24,RU,1601176643
Aracaju,-10.91,-37.07,78.8,65,40,10.29,BR,1601176643
Sinjai,-5.12,120.25,85.05,68,97,9.95,ID,1601176643
Farsund,58.09,6.8,57.0,79,84,10.89,NO,1601176644
Pangai,-19.8,-174.35,74.17,79,73,21.79,TO,1601176644
St. George's,12.06,-61.75,82.4,83,25,9.71,GD,1601176590
Okhotsk,59.38,143.3,52.66,76,99,9.15,RU,1601176644
Skole,49.04,23.51,51.26,88,100,4.94,UA,1601176645
Pozo Colorado,-23.49,-58.8,86.63,33,0,7.9,PY,1601176646
Horodnya,51.89,31.6,61.9,43,3,17.45,UA,1601176647
Caucayá,-0.19,-74.78,73.08,87,21,2.66,CO,1601176647
Krk,45.03,14.57,59.0,81,75,13.87,HR,1601176647
Paamiut,61.99,-49.67,37.11,73,10,5.84,GL,1601176317
Bundaberg,-24.85,152.35,81.0,12,0,4.7,AU,1601176648
Ambato,-1.25,-78.62,50.74,71,96,1.79,EC,1601176438
Kapit,2.02,112.93,86.67,62,97,3.11,MY,1601176648
Troitskoye,52.98,84.68,44.37,82,13,4.81,RU,1601176649
Olafsvik,64.89,-23.71,46.89,89,64,12.91,IS,1601176649
Oistins,13.07,-59.53,82.4,78,20,13.87,BB,1601176649
Yenagoa,4.92,6.26,73.67,94,100,1.72,NG,1601176650
Torbay,47.67,-52.73,54.0,81,75,17.22,CA,1601176650
Karangampel,-6.46,108.45,88.38,53,100,2.59,ID,1601176650
Dudinka,69.41,86.18,39.2,93,75,15.66,RU,1601176446
Asău,46.43,26.4,53.01,98,16,4.83,RO,1601176651
Gambēla,8.25,34.58,70.16,93,99,2.98,ET,1601176651
Bilma,18.69,12.92,82.24,16,49,1.99,NE,1601176652
Alexandria,31.22,29.96,75.2,83,0,4.7,EG,1601176652
Rocha,-34.48,-54.33,59.99,96,100,7.56,UY,1601176652
Morehead,37.27,-87.18,68.0,100,1,6.58,US,1601176653
Hachinohe,40.5,141.5,66.2,72,75,5.82,JP,1601176415
Beatrice,40.27,-96.75,78.8,36,1,9.17,US,1601176653
Gelibolu,40.41,26.67,71.6,64,75,9.17,TR,1601176653
Ternate,0.8,127.4,83.44,73,100,4.09,ID,1601176654
Koumac,-20.57,164.28,75.87,80,67,8.46,NC,1601176654
Geraldton,-28.77,114.6,71.6,46,90,8.05,AU,1601176655
Turtas,58.94,69.13,48.78,89,100,4.92,RU,1601176656
Grand Gaube,-20.01,57.66,70.0,79,43,5.99,MU,1601176656
Talnakh,69.49,88.4,39.2,93,75,15.66,RU,1601176656
Ierissos,40.4,23.88,55.99,79,0,1.99,GR,1601176656
Monrovia,6.3,-10.8,75.2,94,75,2.17,LR,1601176657
Vila Velha,-20.33,-40.29,77.0,78,0,10.29,BR,1601176657
Rabo de Peixe,37.8,-25.58,68.0,88,75,8.05,PT,1601176657
Kushima,31.46,131.23,78.8,57,20,11.41,JP,1601176658
Nur,52.67,22.32,64.35,72,100,15.35,PL,1601176658
Vardø,70.37,31.11,41.72,67,0,11.72,NO,1601176658
Fenoarivo Atsinanana,-17.37,49.42,67.12,84,40,3.6,MG,1601176659
Garissa,-0.45,39.64,72.23,86,20,6.69,KE,1601176659
Petrolina de Goiás,-16.09,-49.34,75.2,35,0,3.2,BR,1601176659
Kribi,2.95,9.92,74.97,89,100,9.64,CM,1601176659
Ancud,-41.87,-73.82,48.0,93,27,5.41,CL,1601176361
Edéa,3.8,10.13,77.0,100,75,1.12,CM,1601176660
Arukutti,9.87,76.35,78.8,94,75,3.36,IN,1601176660
Morón,-34.65,-58.62,63.0,98,100,2.77,AR,1601176660
Romny,50.75,33.47,63.46,43,26,20.13,UA,1601176661
Chumikan,54.72,135.31,52.84,79,63,8.81,RU,1601176661
Östersund,63.18,14.64,41.0,93,100,4.7,SE,1601176661
Rosita,13.93,-84.4,74.03,96,26,0.69,NI,1601176662
Coquimbo,-29.95,-71.34,50.0,87,0,3.36,CL,1601176662
Bintulu,3.17,113.03,82.4,74,20,10.29,MY,1601176663
Broken Hill,-31.95,141.43,57.2,47,0,5.82,AU,1601176663
Arraial do Cabo,-22.97,-42.03,72.75,88,0,20.42,BR,1601176664
Laguna,38.42,-121.42,86.0,34,1,4.7,US,1601176355
Krasnoarmeysk,51.02,45.7,46.99,47,0,1.99,RU,1601176664
Ekuvukeni,-28.47,30.16,53.15,87,50,3.96,ZA,1601176665
Harper,4.38,-7.72,76.14,89,44,8.05,LR,1601176665
Manokwari,-0.87,134.08,84.67,67,3,7.36,ID,1601176665
Karratha,-20.74,116.85,85.95,18,0,4.32,AU,1601176665
Mossamedes,-15.2,12.15,62.29,85,77,3.38,AO,1601176382
Umluj,25.02,37.27,81.86,44,0,8.52,SA,1601176666
Konin,52.22,18.25,50.0,92,100,1.99,PL,1601176666
Napier City,-39.48,176.92,71.01,41,43,15.01,NZ,1601176666
Arrondissement du Havre,49.58,0.33,53.6,66,90,23.04,FR,1601176667
Ulaangom,49.98,92.07,47.57,49,48,6.11,MN,1601176392
Meulaboh,4.14,96.13,83.68,64,9,3.24,ID,1601176667
Guerrero Negro,27.98,-114.06,69.85,81,0,13.24,MX,1601176310
Ratnagiri,16.98,73.3,79.72,83,83,4.72,IN,1601176668
Turukhansk,65.82,87.98,43.74,87,100,10.58,RU,1601176668
Ulaanbaatar,47.91,106.88,42.8,38,75,2.24,MN,1601176668
Waitati,-45.75,170.57,48.0,66,43,25.99,NZ,1601176669
Laas,46.62,10.7,37.4,65,40,2.24,IT,1601176345
Rovaniemi,66.5,25.72,39.2,93,96,13.87,FI,1601176669
Leland,34.26,-78.04,73.0,83,20,3.36,US,1601176669
Batemans Bay,-35.72,150.18,59.0,41,0,3.0,AU,1601176321
Chara,56.91,118.26,48.11,57,49,13.65,RU,1601176670
Gornyy,55.12,83.91,42.26,89,100,2.55,RU,1601176670
Ilinskaya,45.72,40.72,61.81,61,36,15.93,RU,1601176670
La Palma,33.85,-118.05,70.0,83,1,5.82,US,1601176671
Ormara,25.21,64.64,83.16,62,0,13.69,PK,1601176671
Boa Vista,2.82,-60.67,84.2,66,20,3.36,BR,1601176671
Samarai,-10.62,150.67,79.88,85,67,15.14,PG,1601176332
Aksarka,66.56,67.8,46.56,89,19,9.71,RU,1601176672
Kavaratti,10.57,72.64,81.55,79,97,9.91,IN,1601176395
Saskylakh,71.92,114.08,36.46,84,100,15.66,RU,1601176361
Houston,29.76,-95.36,78.8,78,1,10.29,US,1601176439
Xai-Xai,-25.05,33.64,69.75,73,88,15.88,MZ,1601176673
Waingapu,-9.66,120.26,89.35,50,8,13.58,ID,1601176673
Kiunga,-6.12,141.29,82.63,83,90,2.77,PG,1601176673
Touros,-5.2,-35.46,71.6,94,0,4.7,BR,1601176329
Dauphin,51.15,-100.05,53.6,87,90,6.93,CA,1601176674
Charter Township of Clinton,42.59,-82.92,73.0,88,75,12.75,US,1601176674
Piterka,50.68,47.45,48.51,54,85,10.92,RU,1601176674
Innisfail,-17.53,146.03,86.0,33,81,5.01,AU,1601176675
Ostrovnoy,68.05,39.51,42.42,82,100,11.21,RU,1601176675
Kiryat Gat,31.61,34.76,73.99,76,0,6.17,IL,1601176505
Savinka,50.08,47.1,48.85,52,0,11.63,RU,1601176675
Kedrovyy,56.17,91.82,42.8,93,75,6.71,RU,1601176676
Severobaykal'sk,55.65,109.32,46.4,70,100,5.66,RU,1601176676
Lamar,33.67,-95.58,66.99,93,1,8.05,US,1601176676
Praia,14.92,-23.51,78.8,78,20,2.24,CV,1601176386
Fevik,58.38,8.68,55.0,76,100,18.34,NO,1601176677
Port Lincoln,-34.73,135.87,56.05,65,4,15.7,AU,1601176677
Auki,-8.77,160.7,82.92,69,74,6.35,SB,1601176677
Saint-Avertin,47.36,0.74,50.0,76,90,11.41,FR,1601176678
Port Macquarie,-31.43,152.92,71.01,24,0,1.99,AU,1601176678
Alyangula,-13.85,136.42,93.2,30,67,11.41,AU,1601176357
Klaksvík,62.23,-6.59,44.6,87,100,11.41,FO,1601176678
Kropotkin,45.44,40.58,61.83,67,19,15.01,RU,1601176393
Vestmanna,62.16,-7.17,44.6,87,100,11.41,FO,1601176679
Qaqortoq,60.72,-46.03,35.6,55,0,5.82,GL,1601176679
Najrān,17.49,44.13,69.8,30,0,2.26,SA,1601176680
Coyhaique,-45.58,-72.07,42.8,81,75,2.24,CL,1601176427
Masterton,-40.96,175.66,55.99,89,80,15.01,NZ,1601176680
Emerald,-23.53,148.17,82.0,15,0,10.29,AU,1601176680
Matara,5.95,80.54,82.56,75,75,7.14,LK,1601176681
Saldanha,-33.01,17.94,41.0,86,46,2.24,ZA,1601176681
Leningradskiy,69.38,178.42,33.76,92,100,7.47,RU,1601176346
Hirara,24.8,125.28,75.2,88,75,9.17,JP,1601176682
Santa Isabel Rio Negro,-0.41,-65.02,72.86,98,73,2.13,BR,1601176386
Isangel,-19.55,169.27,82.4,74,75,6.93,VU,1601176682
Nālūt,30.33,10.85,67.66,85,32,9.42,LY,1601176682
Zemio,5.03,25.14,69.67,97,100,3.8,CF,1601176683
Kuytun,54.34,101.5,41.76,92,100,12.21,RU,1601176683
Esim,4.87,-2.24,74.89,91,96,8.03,GH,1601176683
Avera,33.19,-82.53,66.2,78,1,2.91,US,1601176684
Sola,-13.88,167.55,80.35,78,76,18.7,VU,1601176684
Samfya,-11.36,29.56,63.23,41,0,2.75,ZM,1601176684
Soyo,-6.13,12.37,73.47,79,57,7.7,AO,1601176685
Coolum Beach,-26.53,153.1,73.99,26,0,3.0,AU,1601176685
